season,episode,actor,dialogue
1,1,JERRY,"Do you know what this is all about? Do you know, why we're here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about We should go out? This is what they're talking about...this whole thing, we're all out now, no one is home. Not one person here is home, we're all out! There are people tryin to find us, they don't know where we are. Did you ring?, I can't find him. Where did he go? He didn't tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...Then you're standing around, whatta you do? You go We gotta be getting back. Once you're out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, it's my feeling, you've gotta go."
1,1,JERRY,"See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It's too high! It's in no-mans-land. You look like you live with your mother."
1,1,GEORGE,Are you through?
1,1,JERRY,"You do of course try on, when you buy?"
1,1,GEORGE,"Yes, it was purple, I liked it, I don't actually recall considering the buttons."
1,1,JERRY,"Oh, you don't recall?"
1,1,GEORGE,"Uh, no, not at this time."
1,1,JERRY,"Well, senator, I'd just like to know, what you knew and when you knew it."
1,1,CLAIRE,Mr. Seinfeld. Mr. Costanza.
1,1,GEORGE,"Are, are you sure this is decaf? Where's the orange indicator?"
1,1,CLAIRE,"It's missing, I have to do it in my head decaf left, regular right, decaf left, regular right...it's very challenging work."
1,1,JERRY,"Can you relax, it's a cup of coffee. Claire is a professional waitress."
1,1,CLAIRE,Trust me George. No one has any interest in seeing you on caffeine.
1,1,GEORGE,How come you're not doin the second show tomorrow?
1,1,JERRY,"Well, there's this uh, woman might be comin in."
1,1,GEORGE,"Wait a second, wait a second, what coming in, what woman is coming in?"
1,1,JERRY,"I told you about Laura, the girl I met in Michigan?"
1,1,GEORGE,"No, you didn't!"
1,1,JERRY,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing..."
1,1,GEORGE,Ha.
1,1,JERRY,"There's no milk in here, what..."
1,1,GEORGE,"Wait wait wait, what is she... What is she like?"
1,1,JERRY,"Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better."
1,1,GEORGE,"So, you know, what, what happened?"
1,1,JERRY,"Oh, nothing happened, you know, but is was great."
1,1,GEORGE,"Oh, nothing happened, but it was..."
1,1,JERRY,Yeah.
1,1,GEORGE,This is great!
1,1,JERRY,Yeah.
1,1,GEORGE,"So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!"
1,1,JERRY,"Yeah, we'll...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
1,1,GEORGE,"Ho ho ho, Had to? Had to come in?"
1,1,JERRY,"Yeah, but..."
1,1,GEORGE,Had to come in and maybe we'll get together? Had to and maybe?
1,1,JERRY,Yeah!
1,1,GEORGE,"No...no...no, I hate to tell you this. You're not gonna see this woman."
1,1,JERRY,"What, are you serious...why, why did she call?"
1,1,GEORGE,"How do I know, maybe, you know, maybe she wanted to be polite."
1,1,JERRY,To be polite? You are insane!
1,1,GEORGE,"All right, all right, I didn't want to tell you this. You wanna know why she called you?"
1,1,JERRY,Yes!
1,1,GEORGE,"You're a back-up, you're a second-line, a just-in-case, a B-plan, a contingency!"
1,1,JERRY,"Oh, I get it, this is about the button."
1,1,GEORGE,"Claire, Claire, you're a woman, right?"
1,1,CLAIRE,"What gave it away, George?"
1,1,GEORGE,"Uhm...I'd like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view."
1,1,GEORGE,"Now, a woman calls me, all right?"
1,1,CLAIE,Uh huh.
1,1,GEORGE,She says she has to come to New York on business...
1,1,JERRY,Oh you are beautiful!
1,1,GEORGE,"...and, and maybe she'll see me when she gets there, does this woman intend to spend time with me?"
1,1,CLAIRE,"I'd have to say, uuhh, no."
1,1,CLAIRE,To be polite.
1,1,GEORGE,To be polite. I rest my case.
1,1,JERRY,"Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me. I gotta go get my stuff out of the dryer anyway."
1,1,GEORGE,I'm not gonna watch you do laundry.
1,1,JERRY,"Oh, come on, be a come-with guy."
1,1,GEORGE,"Come on, I'm tired."
1,1,CLAIRE,"Don't worry, I gave him a little caffeine. He'll perk up."
1,1,GEORGE,"Right, I knew I felt something!"
1,1,GEORGE,Jerry? I have to tell you something. This is the dullest moment I've ever experienced.
1,1,JERRY,"Well, look at this guy. Look, he's got everything, he's got detergents, sprays, fabric softeners. This is not his first load."
1,1,GEORGE,"I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped..."
1,1,JERRY,And you didn't even hear how she sounded.
1,1,GEORGE,What?!
1,1,JERRY,Laura.
1,1,GEORGE,I can't believe-  WE ALREADY DISCUSSED THIS!
1,1,JERRY,"Yeah, but how could you be so sure?"
1,1,GEORGE,"'Cause it's signals, Jerry, it's signals!  Don't you- all right. Did she even ask you, what you we're doin tomorrow night, if you we're busy?"
1,1,JERRY,No.
1,1,GEORGE,She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!
1,1,JERRY,Yeah.
1,1,GEORGE,"What is that? It's ridiculous! You don't even know what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal!  Signal!"
1,1,JERRY,Maybe you're right.
1,1,GEORGE,Maybe I'm right? Of course I'm right.
1,1,JERRY,"This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable."
1,1,GEORGE,"I know, I know. Listen, your stuff has to be done by now, why don't you just see if it's dry?"
1,1,JERRY,"No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing. Just let it finish."
1,1,GEORGE,You're gonna overdry it.
1,1,JERRY,"You, you can't overdry."
1,1,GEORGE,Why not?
1,1,JERRY,"Same as you can't overwet. You see, once something is wet, it's wet. Same thing with death. Like once you die you're dead, right? Let's say you drop dead and I shoot you. You're not gonna die again, you're already dead. You can't overdie, you can't overdry."
1,1,GEORGE,Any questions?
1,1,JERRY,How could she not tell me where she was staying?
1,1,GEORGE,Look at that. They're done!
1,1,JERRY,"Laundry day is the only exciting day in the life of clothes. It is...yknow, think about it. The washing machine is the nightclub of clothes. You know, it's dark, there's bubbles happening, they're all kinda dancing around in there- shirt grabs the underwear, Cmon babe, let's go. You come by, you open up the lid and they'll-  Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, I'm goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you don't see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So they're showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isn't your biggest problem right now. You gotta get the harpoon out your chest first."
1,1,JERRY,"If you know what happened in the Met game, don't say anything, I taped it, hello. Yeah, no, I'm sorry, you have the wrong number. Yeah, no"
1,1,JERRY,Yeah?
1,1,KRAMER,Are you up?
1,1,JERRY,"Yeah. Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem."
1,1,KRAMER,"Boy, the Mets blew it tonight, huh?"
1,1,JERRY,"Ohhhh, what are you doing? Kessler, it's a tape! I taped the game, it's one oclock in the morning! I avoided human contact all night to watch this."
1,1,KRAMER,"Hey, I'm sorry, I- you know, I, I thought you knew. You got any meat?"
1,1,JERRY,"Meat? I don't, I don't know, go... hunt!  We'll what happened in the game anyway?"
1,1,KRAMER,"What happened? Well, they STUNK, that's what happened!"
1,1,KRAMER,"You know, I almost wound up going to that game."
1,1,JERRY,Yeah you almost went to the game. You havent been out of the building in ten years!
1,1,KRAMER,Yeah. Are you done with this?
1,1,JERRY,No.
1,1,KRAMER,"When you're done, let me know."
1,1,JERRY,"Yeah, yeah...you can have it tomorrow."
1,1,KRAMER,I thought I wasn't allowed to be in here this weekend.
1,1,JERRY,"No, it's okay now, that, that girl is not comin. Uh, I misread the whole thing."
1,1,KRAMER,You want me to talk to her?
1,1,JERRY,I don't think so.
